t,n,n_female,n_male,n_accepted,n_failed_match,n_sterile,n_eggs,n_viable,mean_pairwise_phi,heterozygosity_qtl,F,cluster_count,matriline_count,n_extinct_clusters,Ne_hat,n_eval_hook,viability,fertility,courtship,locomotion
66,1000,493,507,376,120,0,2836,2203,0.069755005005005,0.5306875,0.4693125,50,12,0,419.07562427375564,8,0.7696735399404826,0.9613493359994159,0.6435770973315623,0.9043154711622233
67,1000,503,497,374,119,0,2809,2166,0.07011489614614615,0.5464375,0.4535625,56,12,1,423.02830148735535,8,0.7608772017809384,0.9602013984062004,0.6388191662363542,0.904541741335538
68,1000,489,511,377,126,0,2820,2150,0.07052014514514514,0.53575,0.46425000000000005,60,11,0,431.4784456587736,8,0.7626832772786356,0.9645357070348357,0.6323472943897677,0.9041710531932524
69,1000,501,499,380,109,0,2876,2152,0.06993337087087087,0.5383125,0.46168750000000003,52,10,0,439.1994646876331,8,0.7661267294398142,0.9627038520332041,0.6401453622232355,0.9051664864309769
70,1000,522,478,378,123,0,2849,2204,0.07133971471471472,0.541,0.45899999999999996,60,10,0,418.4894033295453,8,0.7677544434034126,0.9641675171779481,0.6266932753178451,0.907936397784031
71,1000,498,502,385,137,0,2902,2195,0.07299336836836837,0.5291875,0.47081249999999997,50,10,0,429.5443019633413,8,0.761423603175022,0.9613836541883775,0.6355222656127475,0.9063276905119593
72,1000,510,490,385,113,0,2873,2219,0.07517908533533534,0.5278125,0.4721875,49,10,1,435.86614520539894,8,0.7605771793095645,0.9642141692370623,0.6168670103328773,0.9085921282492628
73,1000,503,497,374,136,0,2817,2105,0.07556431431431432,0.540625,0.459375,58,9,0,419.70522576154013,8,0.7568112919071514,0.961918158971947,0.6248477241476501,0.9030067112891189
74,1000,514,486,378,125,0,2836,2161,0.07730574324324324,0.5426875,0.4573125,51,9,0,443.53251590873816,8,0.7573856016390819,0.961992009256061,0.6228962967258574,0.902717427046023
75,1000,489,511,389,125,0,2917,2179,0.07707541916916917,0.5433125,0.4566875,60,8,0,452.5081861814267,8,0.7563949766143908,0.9552594939013643,0.6118288528938332,0.8965470921096809
76,1000,507,493,375,114,0,2788,2125,0.07966422672672673,0.53875,0.46125000000000005,41,8,0,438.25477210751853,8,0.7636164597011879,0.9628692943116129,0.6151171884720995,0.9051284474303167
77,1000,496,504,385,122,0,2917,2212,0.08082745245245246,0.5495,0.4505,57,7,1,439.8498471764741,8,0.7628679678936432,0.9620329559689192,0.6174990098777793,0.9056093734841595
78,1000,480,520,375,121,0,2803,2124,0.08221706081081082,0.5465,0.4535,52,7,0,434.19529139328444,8,0.7546357960670946,0.9528418691991526,0.6204081234081305,0.8990804291275399
79,1000,500,500,371,109,0,2734,2074,0.0839303053053053,0.5558125,0.44418749999999996,61,7,0,395.39967710984587,8,0.7574638734235201,0.9593760459385278,0.6038031164779283,0.9060235508504133
80,1000,482,518,381,119,0,2854,2154,0.08520051301301301,0.5371875,0.46281249999999996,55,7,0,425.8581792898696,8,0.7511888803999908,0.9581445739000437,0.6178376262573897,0.9072787867950223
81,1000,504,496,382,100,0,2847,2169,0.08600947822822823,0.5555,0.4445,65,7,0,426.2919575823085,8,0.7571479786341339,0.9594421319288559,0.6152569472712419,0.9063945692859979
82,1000,488,512,373,131,0,2796,2144,0.08582460585585586,0.5440625,0.4559375,49,7,0,437.5277132227845,8,0.7693340882866048,0.960536089586996,0.6101134800466844,0.9108836264298421
83,1000,525,475,371,117,0,2759,2158,0.0857416478978979,0.545625,0.454375,71,7,0,424.3437887298759,8,0.7639350656281705,0.9602455267018379,0.6171921487527022,0.9083186837042919
84,1000,517,483,370,155,0,2755,2090,0.08524712212212213,0.542375,0.45762499999999995,59,7,0,408.5469575337969,8,0.7607109378767511,0.9619006580462268,0.6112798433956552,0.9109309981069551
85,1000,500,500,368,149,0,2766,2112,0.0854725975975976,0.55275,0.44725000000000004,55,7,0,400.30268634127884,8,0.7603748491248088,0.958863507932193,0.6140842822271352,0.9056329361360472
86,1000,487,513,384,116,0,2859,2120,0.08626122997997998,0.5171875,0.4828125,61,7,0,423.8800478336859,8,0.7456322629998287,0.9556422695436657,0.609441428128007,0.8993243633361144
87,1000,488,512,381,106,0,2815,2093,0.08832992367367368,0.529875,0.470125,57,7,0,418.37602280358425,8,0.7494924195416462,0.96019734877091,0.5974199924793182,0.9049426939940263
88,1000,520,480,370,118,0,2762,2087,0.08991985735735736,0.545875,0.454125,76,7,0,406.30379296017094,8,0.7636849409469553,0.9603221706738254,0.6106993069384862,0.9071938313040679
89,1000,516,484,372,148,0,2786,2157,0.09094372497497498,0.549375,0.45062500000000005,58,7,0,440.28150731129966,8,0.7640005709303278,0.9600549717125401,0.6026639659489441,0.9069376706566863
90,1000,481,519,370,146,0,2763,2115,0.09206190565565565,0.5425625,0.45743750000000005,67,7,0,425.94897324206596,8,0.7661850365000196,0.9609158726338135,0.6041489390324454,0.9067429877250871
91,1000,506,494,382,99,0,2863,2174,0.09317980480480481,0.5281875,0.47181249999999997,51,7,0,430.13199549600006,8,0.7545413768219916,0.9650582019570643,0.6105112156714628,0.9114824210281124
92,1000,504,496,372,134,0,2808,2137,0.09372547547547548,0.523875,0.476125,57,7,0,415.2184349495919,8,0.7555127992637316,0.9576801835132344,0.6087085486366489,0.9041652332385957
93,1000,535,465,370,134,0,2755,2071,0.09579538913913914,0.518625,0.481375,56,7,0,407.1980963712076,8,0.7592248846738122,0.9582116710380014,0.5995951748329892,0.9073337050099792
94,1000,484,516,383,152,0,2848,2161,0.09721193068068068,0.53425,0.46575,61,7,0,432.02782620988637,8,0.757391827215857,0.9653590867242472,0.6030327728528154,0.9095116060665384
95,1000,489,511,376,108,0,2857,2199,0.09941741741741741,0.5245,0.47550000000000003,59,7,0,427.6553009220047,8,0.7631316475941137,0.9655411950909388,0.6276285463700935,0.9089658734811555
96,1000,476,524,374,115,0,2829,2222,0.09950281531531531,0.5070625,0.49293750000000003,63,7,0,412.75724293411866,8,0.7624570223354413,0.9623412884263679,0.6154067593304391,0.9051344666535116
97,1000,494,506,375,101,0,2821,2173,0.10174587087087088,0.52625,0.47375,57,7,0,418.2156133828996,8,0.7645393069521693,0.9667165929764044,0.6235044153641707,0.9092369296712622
98,1000,483,517,375,119,0,2855,2180,0.10395711336336336,0.5245625,0.47543749999999996,58,7,0,449.8200719712115,8,0.7668207320178275,0.9683111885099964,0.6230541240998244,0.9129664985595805
99,1000,516,484,363,120,0,2756,2131,0.10592320445445445,0.518125,0.48187500000000005,66,7,0,417.4383278263707,8,0.7620924440203428,0.9684151681401663,0.6218884595382383,0.9091034752139031
100,1000,510,490,372,144,0,2835,2181,0.10946706081081081,0.52975,0.47024999999999995,51,7,0,420.37984373670974,8,0.7657850490243101,0.970640716771853,0.6272182865665555,0.9147302304750949
101,1000,510,490,380,130,0,2906,2232,0.11369932432432432,0.5194375,0.4805625,46,7,0,431.71490074144947,8,0.7649818030883851,0.9629418187437931,0.644118576921178,0.9073872004257925
102,1000,495,505,361,149,0,2711,2095,0.11643358983983984,0.5323125,0.46768750000000003,58,7,0,415.43988727868566,8,0.773223894735201,0.9648636904825403,0.6306453649477464,0.9067178822995134
103,1000,499,501,383,112,0,2893,2241,0.1200999436936937,0.538375,0.46162499999999995,60,7,0,464.5143924760125,8,0.7692615685966346,0.9646294922422428,0.633435049031969,0.9057041677684489
104,1000,501,499,383,116,0,2897,2247,0.11860116366366366,0.520375,0.47962499999999997,65,7,0,432.51570824966905,8,0.7683153314455189,0.9665165139679588,0.6233306856190723,0.9077675178894589
105,1000,509,491,372,129,0,2820,2179,0.1214375,0.52675,0.47324999999999995,60,7,0,433.1050714205236,8,0.7724205002886398,0.9679046656639416,0.6288180871960646,0.9087521938388118
106,1000,512,488,376,133,0,2851,2212,0.12187062062062062,0.5109375,0.48906249999999996,59,7,0,448.0389422711254,8,0.7758154266092391,0.9662735960847648,0.6351224969833117,0.9059878950901057
107,1000,489,511,369,143,0,2811,2117,0.12300162662662663,0.5125,0.48750000000000004,58,7,0,427.0900313979129,8,0.7631685140710947,0.9683950459420093,0.6340660249533733,0.9055974377657722
108,1000,497,503,380,109,0,2881,2161,0.12650625625625625,0.497625,0.502375,73,7,0,423.0634009140982,8,0.7592105252920357,0.9606397666591087,0.6330206734563805,0.9004598748303381
109,1000,514,486,357,140,0,2681,2002,0.1285263701201201,0.49275,0.50725,60,7,0,405.01916268900516,8,0.7481023986704601,0.9625197281089899,0.6266933580038827,0.9032740645535325
110,1000,526,474,378,136,0,2847,2134,0.13013913913913913,0.4810625,0.5189375,68,7,0,427.96554326859723,8,0.7577129461946813,0.964508542635854,0.6210810689751732,0.9044436896947674
111,1000,470,530,365,161,0,2736,2084,0.13157698323323325,0.4694375,0.5305625,66,7,0,419.9568143489841,8,0.7659036974678676,0.9677165045898607,0.6154611429609167,0.9071284554313611
112,1000,501,499,371,99,0,2810,2181,0.1338905467967968,0.4590625,0.5409375000000001,76,7,0,432.2542757186913,8,0.7632560853539415,0.9663523247772702,0.6305198764307162,0.9047123706587097
113,1000,517,483,370,131,0,2795,2125,0.13579066566566567,0.4524375,0.5475625,70,7,0,425.94897324206596,8,0.7505033067700411,0.9661961859960729,0.6124000636659197,0.9033781888401522
114,1000,521,479,386,131,0,2920,2207,0.13648379629629628,0.4461875,0.5538125,75,7,0,440.8087430400643,8,0.7641230984661646,0.9680437021574091,0.624442738206842,0.9080340162375968
115,1000,484,516,385,136,0,2924,2217,0.13728738113113112,0.4350625,0.5649375,60,7,0,450.13513923896875,8,0.7556647781454563,0.9576702478429231,0.6107541192621411,0.8966445862003024
116,1000,506,494,376,108,0,2792,2144,0.13568387137137136,0.41425,0.58575,56,7,1,410.38502624123356,8,0.7637702328360532,0.9601332755918656,0.6041121509653649,0.8982987095711887
117,1000,508,492,371,135,0,2779,2136,0.1360777027027027,0.4243125,0.5756875,65,6,0,408.0101497864217,8,0.7584686997729989,0.9616666365428701,0.5999657838843374,0.9017167654150275
118,1000,490,510,374,134,0,2802,2174,0.1346355417917918,0.4189375,0.5810625,60,6,0,422.0734938232117,8,0.7620523623863262,0.9613450355350603,0.6072331335189721,0.9047971042377977
119,1000,516,484,377,113,0,2827,2138,0.13366241241241242,0.4271875,0.5728125,65,6,0,413.0420252075686,8,0.7515203908149132,0.9633717358276372,0.6126493673198049,0.9071787386802839
120,1000,483,517,373,143,0,2818,2121,0.13521743618618617,0.4035625,0.5964375,64,6,0,434.4699228984439,8,0.754095612842261,0.9605317116970267,0.6105429271803752,0.9029937718928389
121,1000,497,503,376,107,0,2803,2126,0.13766616616616617,0.4079375,0.5920624999999999,71,6,0,404.2086001829826,8,0.7475959481073075,0.9605253422152886,0.5817156532978194,0.903928400579602
122,1000,513,487,380,117,0,2845,2167,0.1388183183183183,0.3910625,0.6089375,54,6,0,442.7817981111247,8,0.7596106170650625,0.959617248995562,0.5839516595594682,0.9051017416401885
123,1000,476,524,374,139,0,2789,2162,0.1381836836836837,0.4045625,0.5954375000000001,56,6,0,440.4655439533449,8,0.7681716991581921,0.9651803354006476,0.5942123829296214,0.907995457537212
124,1000,509,491,372,104,0,2803,2111,0.14012115240240242,0.3840625,0.6159375,49,6,0,420.37984373670974,8,0.7552631840423552,0.9633267161618566,0.6011946566080526,0.9066432931237101
125,1000,495,505,363,146,0,2721,2062,0.14366766766766767,0.374,0.626,57,6,0,417.91892114761276,8,0.7597465772181343,0.9601798261119013,0.58788626148226,0.9027627135353997
126,1000,519,481,374,121,0,2791,2104,0.14457882882882883,0.3725625,0.6274375,65,6,0,438.9147938723383,8,0.7589173095672734,0.9680143208295918,0.5908083698165008,0.9037900278276877
127,1000,525,475,379,140,0,2885,2213,0.1458389014014014,0.3806875,0.6193124999999999,54,6,0,421.70206269706597,8,0.759763097835661,0.963747948972475,0.5845274529417818,0.9026076479252493
